label,NDCG@5,MRR,Recall@5,Precision@5,MAP
search_base (β=0.12),0.505265569742201,0.7648648648648649,0.13990416980681045,0.572972972972973,0.40526115401115403
search_v2 (negation),0.5009896346995838,0.7516516516516516,0.1271414070440477,0.5513513513513514,0.3952649077649078
search_v3 (default min_r=3.5),0.4887857382677234,0.6993243243243243,0.12057449997795326,0.5135135135135135,0.3592642642642643
search_v3 (min_rating=None),0.5051372460757545,0.7218468468468469,0.12626992142679935,0.5405405405405406,0.373060918060918
