intent,bm25,hybrid_v4,search_base,search_v3,semantic,best
brand,0.647,0.619,0.679,0.624,0.605,search_base
dosage,0.906,0.744,0.616,0.565,0.55,bm25
negation,0.287,0.409,0.454,0.415,0.446,search_base
price,0.438,0.195,0.206,0.211,0.433,bm25
semantic,0.525,0.571,0.532,0.527,0.541,hybrid_v4
