intent,bm25,hybrid_v4,search_base,search_v3,semantic,best
brand,1.0,1.0,1.0,1.0,1.0,bm25
dosage,1.0,1.0,0.833,0.833,0.778,bm25
negation,0.39,0.569,0.72,0.558,0.829,semantic
price,0.781,0.375,0.5,0.5,0.75,bm25
semantic,0.847,0.808,0.782,0.708,0.871,semantic
