label,beta_q,beta_p,NDCG@5,MRR,Recall@5,Precision@5,MAP
β_q=0.00 β_p=0.00,0.0,0.0,0.4815723582421119,0.7964285714285714,0.12281090955779275,0.5297297297297298,0.4101228013728013
β_q=0.05 β_p=0.02,0.05,0.02,0.5109533442530159,0.7993886743886744,0.13590615439376136,0.5621621621621622,0.41544562419562414
β_q=0.12 β_p=0.05,0.12,0.05,0.505265569742201,0.7648648648648649,0.13990416980681045,0.572972972972973,0.40526115401115403
β_q=0.20 β_p=0.10,0.2,0.1,0.48766197396021943,0.702059202059202,0.13580946084438755,0.5513513513513513,0.37979997854997855
β_q=0.30 β_p=0.15,0.3,0.15,0.42762677693195994,0.6846846846846847,0.09683958140153515,0.49189189189189186,0.3449095524095524
