system,n_queries,NDCG@5,MRR,Recall@5,Precision@5,MAP
bm25,37,0.5241200551526807,0.8029279279279279,0.14373322816787626,0.6270270270270271,0.521619834119834
semantic,37,0.5223661100661963,0.8552123552123552,0.1328550446019278,0.572972972972973,0.4387017374517374
search_base,37,0.505265569742201,0.7648648648648649,0.13990416980681045,0.572972972972973,0.40526115401115403
search_v3,37,0.4887857382677234,0.6993243243243243,0.12057449997795326,0.5135135135135135,0.3592642642642643
hybrid_v4,37,0.526183662654045,0.76001716001716,0.12104896325854869,0.5405405405405406,0.41658354783354784
